Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
08/06/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-245.76,12.62,-19.474,
08/06/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-308.51,12.62,-24.446,
08/05/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-445.72,12.60,-35.375,
08/05/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-245.76,12.60,-19.505,
08/05/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-308.52,12.60,-24.486,
08/04/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-445.73,12.63,-35.291,
08/04/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-245.76,12.63,-19.458,
08/04/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-308.51,12.63,-24.427,
08/03/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-445.72,12.68,-35.151,
08/03/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-245.76,12.68,-19.382,
08/03/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-308.52,12.68,-24.331,
07/31/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-445.72,12.65,-35.235,
07/31/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-245.76,12.65,-19.428,
07/31/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-308.52,12.65,-24.389,
07/30/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-445.72,12.60,-35.375,
07/30/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-245.76,12.60,-19.505,
07/30/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-308.52,12.60,-24.486,
07/29/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-445.72,12.59,-35.403,
07/29/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-245.76,12.59,-19.520,
07/29/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-308.52,12.59,-24.505,
07/28/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-445.72,12.61,-35.347,
07/28/2015,DFA Intermediate Government Fixed Income,DFIGX,Exchange Redemption,-245.76,12.61,-19.489,
