Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
03/28/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,236.37,9.54,24.777,
03/28/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,107.42,9.54,11.260,
03/28/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,156.21,9.54,16.374,
03/27/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,118.19,9.56,12.363,
03/27/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,53.71,9.56,5.618,
03/27/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,78.10,9.56,8.169,
03/24/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,118.19,9.55,12.376,
03/24/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,53.71,9.55,5.624,
03/24/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,78.10,9.55,8.178,
03/22/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,118.19,9.56,12.363,
03/22/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,53.71,9.56,5.618,
03/22/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,78.10,9.56,8.169,
03/21/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,118.19,9.55,12.376,
03/21/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,53.71,9.55,5.624,
03/21/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,78.10,9.55,8.178,
03/17/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,236.37,9.53,24.803,
03/17/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,107.42,9.53,11.272,
03/17/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,156.21,9.53,16.391,
03/16/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,236.37,9.52,24.829,
03/16/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,107.42,9.52,11.284,
03/16/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,156.21,9.52,16.409,
03/15/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,236.37,9.54,24.777,
03/15/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,107.42,9.54,11.260,
03/15/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,156.21,9.54,16.374,
02/15/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,235.34,9.54,24.669,
02/15/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,108.43,9.54,11.366,
02/15/2017,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Purchase,156.23,9.54,16.376,
03/30/2017,DFA Inflation-Protected Securities,DIPSX,Ordinary Dividend Reinvestment Increase,22.47,11.79,1.906,
03/30/2017,DFA Inflation-Protected Securities,DIPSX,Ordinary Dividend Reinvestment Increase,9.45,11.79,0.802,
03/30/2017,DFA Inflation-Protected Securities,DIPSX,Ordinary Dividend Reinvestment Increase,14.39,11.79,1.221,
03/29/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,236.37,11.86,19.930,
03/29/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,107.42,11.86,9.057,
03/29/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,156.21,11.86,13.171,
03/28/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,472.75,11.82,39.996,
03/28/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,214.84,11.82,18.176,
03/28/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,312.41,11.82,26.431,
03/27/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,236.37,11.86,19.930,
03/27/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,107.42,11.86,9.057,
03/27/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,156.21,11.86,13.171,
03/24/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,236.37,11.83,19.981,
03/24/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,107.42,11.83,9.080,
03/24/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,156.21,11.83,13.205,
03/22/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,236.37,11.83,19.981,
03/22/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,107.42,11.83,9.080,
03/22/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,156.21,11.83,13.205,
03/21/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,236.37,11.82,19.997,
03/21/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,107.42,11.82,9.088,
03/21/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,156.21,11.82,13.216,
03/20/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,236.37,11.80,20.031,
03/20/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,107.42,11.80,9.103,
03/20/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,156.21,11.80,13.238,
03/17/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,236.37,11.77,20.082,
03/17/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,107.42,11.77,9.127,
03/17/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,156.21,11.77,13.272,
03/16/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,354.56,11.75,30.175,
03/16/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,161.13,11.75,13.713,
03/16/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,234.31,11.75,19.941,
03/15/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,472.75,11.77,40.166,
03/15/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,214.84,11.77,18.253,
03/15/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,312.41,11.77,26.543,
03/02/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.19,11.75,10.059,
03/02/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,53.71,11.75,4.571,
03/02/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.10,11.75,6.647,
02/15/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,470.67,11.77,39.989,
02/15/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,216.86,11.77,18.425,
02/15/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,312.47,11.77,26.548,
02/14/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,352.71,11.76,29.992,
02/14/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,162.93,11.76,13.855,
02/14/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,234.36,11.76,19.929,
02/13/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,235.14,11.79,19.944,
02/13/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,108.62,11.79,9.213,
02/13/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,156.24,11.79,13.252,
02/10/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,163.45,11.81,13.840,
02/10/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,9.62,11.81,0.815,
02/10/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,76.93,11.81,6.514,
02/09/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,163.47,11.81,13.842,
02/09/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,9.61,11.81,0.814,
02/09/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,76.92,11.81,6.513,
02/01/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,163.46,11.78,13.876,
02/01/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,9.62,11.78,0.817,
02/01/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,76.92,11.78,6.530,
01/25/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,472.65,11.74,40.260,
01/25/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,214.31,11.74,18.255,
01/25/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,313.04,11.74,26.664,
01/24/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,113.03,11.78,9.595,
01/24/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,60.00,11.78,5.093,
01/24/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,76.97,11.78,6.534,
01/20/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.47,11.76,10.074,
01/20/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,53.17,11.76,4.521,
01/20/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.36,11.76,6.663,
01/19/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,355.40,11.75,30.247,
01/19/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,159.50,11.75,13.575,
01/19/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,235.10,11.75,20.009,
01/18/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.47,11.75,10.083,
01/18/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,53.17,11.75,4.525,
01/18/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.36,11.75,6.669,
01/17/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.47,11.82,10.023,
01/17/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,53.17,11.82,4.498,
01/17/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.36,11.82,6.629,
01/13/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.09,11.77,10.033,
01/13/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,53.53,11.77,4.548,
01/13/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.38,11.77,6.659,
01/12/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,113.03,11.80,9.579,
01/12/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,60.00,11.80,5.085,
01/12/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,76.97,11.80,6.523,
01/11/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.32,11.78,10.044,
01/11/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,53.17,11.78,4.514,
01/11/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.51,11.78,6.665,
01/10/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.48,11.75,10.083,
01/10/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,52.96,11.75,4.507,
01/10/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.56,11.75,6.686,
01/09/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.48,11.74,10.092,
01/09/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,52.96,11.74,4.511,
01/09/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.56,11.74,6.692,
01/04/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.13,11.72,10.079,
01/04/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,53.03,11.72,4.525,
01/04/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.84,11.72,6.727,
01/03/2017,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,187.50,11.70,16.026,
