Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
12/16/2014,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,40.60,19.26,2.108,
12/16/2014,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,23.71,19.26,1.231,
12/16/2014,DFA Emerging Markets Small Cap,DEMSX,Ordinary Dividend Reinvestment Increase,28.63,19.26,1.487,
12/16/2014,DFA Emerging Markets Small Cap,DEMSX,Long Term Capital Gain Reinvestment,72.69,19.26,3.774,
12/16/2014,DFA Emerging Markets Small Cap,DEMSX,Long Term Capital Gain Reinvestment,42.45,19.26,2.204,
12/16/2014,DFA Emerging Markets Small Cap,DEMSX,Long Term Capital Gain Reinvestment,51.25,19.26,2.661,
12/16/2014,DFA Emerging Markets Small Cap,DEMSX,Short Term Capital Gain Reinvestment,2.76,19.26,0.143,
12/16/2014,DFA Emerging Markets Small Cap,DEMSX,Short Term Capital Gain Reinvestment,1.61,19.26,0.084,
12/16/2014,DFA Emerging Markets Small Cap,DEMSX,Short Term Capital Gain Reinvestment,1.95,19.26,0.101,
12/04/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,444.64,21.05,21.123,
12/04/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,251.97,21.05,11.970,
12/04/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,303.39,21.05,14.413,
12/01/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,889.26,20.90,42.548,
12/01/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,503.96,20.90,24.113,
12/01/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,606.78,20.90,29.033,
11/28/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,438.33,21.17,20.705,
11/28/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,254.52,21.17,12.023,
11/28/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,307.15,21.17,14.509,
11/17/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,436.27,21.01,20.765,
11/17/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,255.36,21.01,12.154,
11/17/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,308.37,21.01,14.677,
10/22/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,1810.48,21.10,85.805,
10/22/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,1081.21,21.10,51.242,
10/22/2014,DFA Emerging Markets Small Cap,DEMSX,Exchange Purchase,1308.31,21.10,62.005,
12/15/2014,DFA Emerging Markets Core Equity,DFCEX,Ordinary Dividend Reinvestment Increase,32.96,18.31,1.800,
12/15/2014,DFA Emerging Markets Core Equity,DFCEX,Ordinary Dividend Reinvestment Increase,19.22,18.31,1.050,
12/15/2014,DFA Emerging Markets Core Equity,DFCEX,Ordinary Dividend Reinvestment Increase,23.21,18.31,1.268,
12/08/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,150.37,19.36,7.767,
12/08/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,85.25,19.36,4.403,
12/08/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,102.63,19.36,5.301,
12/04/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,444.64,19.61,22.674,
12/04/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,251.97,19.61,12.849,
12/04/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,303.39,19.61,15.471,
12/01/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,889.26,19.54,45.510,
12/01/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,503.96,19.54,25.791,
12/01/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,606.78,19.54,31.053,
11/28/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,438.33,19.87,22.060,
11/28/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,254.52,19.87,12.809,
11/28/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,307.15,19.87,15.458,
11/17/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,436.27,19.57,22.293,
11/17/2014,DFA Emerging Markets Core Equity,DFCEX,Exchange Purchase,255.36,19.57,13.049,
