Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
01/25/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-451.44,19.64,-22.986,
01/25/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-240.26,19.64,-12.233,
01/25/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-308.30,19.64,-15.698,
01/24/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.58,-11.528,
01/24/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,19.58,-6.136,
01/24/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.58,-7.872,
01/23/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.43,-11.617,
01/23/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,19.43,-6.183,
01/23/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.43,-7.933,
01/20/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.28,-11.707,
01/20/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,19.28,-6.231,
01/20/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.28,-7.995,
01/12/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.24,-11.732,
01/12/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,19.24,-6.244,
01/12/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.24,-8.011,
01/11/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.05,-11.849,
01/11/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,19.05,-6.307,
01/11/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.05,-8.091,
01/10/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,18.95,-11.911,
01/10/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,18.95,-6.340,
01/10/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,18.95,-8.134,
01/05/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-225.72,19.03,-11.861,
01/05/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-120.14,19.03,-6.313,
01/05/2017,DFA Emerging Markets Small Cap,DEMSX,Exchange Redemption,-154.14,19.03,-8.100,
01/25/2017,DFA Investment Grade,DFAPX,Exchange Purchase,472.65,10.68,44.256,
01/25/2017,DFA Investment Grade,DFAPX,Exchange Purchase,214.31,10.68,20.067,
01/25/2017,DFA Investment Grade,DFAPX,Exchange Purchase,313.04,10.68,29.311,
01/24/2017,DFA Investment Grade,DFAPX,Exchange Purchase,113.03,10.71,10.554,
01/24/2017,DFA Investment Grade,DFAPX,Exchange Purchase,60.00,10.71,5.602,
01/24/2017,DFA Investment Grade,DFAPX,Exchange Purchase,76.97,10.71,7.187,
01/20/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.47,10.70,11.072,
01/20/2017,DFA Investment Grade,DFAPX,Exchange Purchase,53.17,10.70,4.969,
01/20/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.36,10.70,7.323,
01/19/2017,DFA Investment Grade,DFAPX,Exchange Purchase,355.40,10.69,33.246,
01/19/2017,DFA Investment Grade,DFAPX,Exchange Purchase,159.50,10.69,14.921,
01/19/2017,DFA Investment Grade,DFAPX,Exchange Purchase,235.10,10.69,21.992,
01/18/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.47,10.72,11.051,
01/18/2017,DFA Investment Grade,DFAPX,Exchange Purchase,53.17,10.72,4.960,
01/18/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.36,10.72,7.310,
01/17/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.47,10.78,10.990,
01/17/2017,DFA Investment Grade,DFAPX,Exchange Purchase,53.17,10.78,4.932,
01/17/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.36,10.78,7.269,
01/13/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.09,10.73,11.006,
01/13/2017,DFA Investment Grade,DFAPX,Exchange Purchase,53.53,10.73,4.989,
01/13/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.38,10.73,7.305,
01/12/2017,DFA Investment Grade,DFAPX,Exchange Purchase,113.03,10.75,10.514,
01/12/2017,DFA Investment Grade,DFAPX,Exchange Purchase,60.00,10.75,5.581,
01/12/2017,DFA Investment Grade,DFAPX,Exchange Purchase,76.97,10.75,7.160,
01/11/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.32,10.74,11.017,
01/11/2017,DFA Investment Grade,DFAPX,Exchange Purchase,53.17,10.74,4.951,
01/11/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.51,10.74,7.310,
01/10/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.48,10.74,11.032,
01/10/2017,DFA Investment Grade,DFAPX,Exchange Purchase,52.96,10.74,4.931,
01/10/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.56,10.74,7.315,
01/09/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.48,10.74,11.032,
01/09/2017,DFA Investment Grade,DFAPX,Exchange Purchase,52.96,10.74,4.931,
01/09/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.56,10.74,7.315,
01/04/2017,DFA Investment Grade,DFAPX,Exchange Purchase,118.13,10.70,11.040,
01/04/2017,DFA Investment Grade,DFAPX,Exchange Purchase,53.03,10.70,4.956,
01/04/2017,DFA Investment Grade,DFAPX,Exchange Purchase,78.84,10.70,7.368,
01/03/2017,DFA Investment Grade,DFAPX,Exchange Purchase,187.50,10.69,17.540,
01/03/2017,DFA Investment Grade,DFAPX,Exchange Purchase,12.50,10.69,1.169,
01/03/2017,DFA Investment Grade,DFAPX,Exchange Purchase,50.00,10.69,4.677,
01/25/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-904.22,18.51,-48.850,
01/25/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-479.98,18.51,-25.931,
01/25/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-615.80,18.51,-33.269,
01/24/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-452.12,18.41,-24.558,
01/24/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-240.00,18.41,-13.036,
01/24/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-307.88,18.41,-16.724,
01/23/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-452.11,18.27,-24.746,
01/23/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-239.99,18.27,-13.136,
01/23/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-307.90,18.27,-16.853,
01/20/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-452.11,18.08,-25.006,
01/20/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-239.99,18.08,-13.274,
01/20/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-307.90,18.08,-17.030,
01/12/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-452.12,18.09,-24.993,
01/12/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-240.00,18.09,-13.267,
01/12/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-307.88,18.09,-17.019,
01/11/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-452.11,17.94,-25.201,
01/11/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-239.99,17.94,-13.377,
01/11/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-307.90,17.94,-17.163,
01/10/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-452.11,17.82,-25.371,
01/10/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-239.99,17.82,-13.467,
01/10/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-307.90,17.82,-17.278,
01/05/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-452.11,17.83,-25.357,
01/05/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-239.99,17.83,-13.460,
01/05/2017,DFA Emerging Markets Core Equity,DFCEX,Exchange Redemption,-307.90,17.83,-17.269,
01/25/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-452.14,25.62,-17.648,
01/25/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-239.66,25.62,-9.354,
01/25/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-308.20,25.62,-12.030,
01/24/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-226.08,25.55,-8.848,
01/24/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-119.82,25.55,-4.690,
01/24/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-154.10,25.55,-6.031,
01/23/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-226.07,25.37,-8.911,
01/23/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-119.83,25.37,-4.723,
01/23/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-154.10,25.37,-6.074,
01/20/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-226.07,25.15,-8.989,
01/20/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-119.83,25.15,-4.765,
01/20/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-154.10,25.15,-6.127,
01/12/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-226.08,25.09,-9.011,
01/12/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-119.82,25.09,-4.776,
01/12/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-154.10,25.09,-6.142,
01/11/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-226.08,24.89,-9.083,
01/11/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-119.82,24.89,-4.814,
01/11/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-154.10,24.89,-6.191,
01/10/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-226.07,24.65,-9.171,
01/10/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-119.83,24.65,-4.861,
01/10/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-154.10,24.65,-6.252,
01/05/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-226.08,24.66,-9.168,
01/05/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-119.82,24.66,-4.859,
01/05/2017,DFA Emerging Markets Value,DFEVX,Exchange Redemption,-154.10,24.66,-6.249,
01/25/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,472.65,10.88,43.442,
01/25/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,214.31,10.88,19.698,
01/25/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,313.04,10.88,28.772,
01/24/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,113.03,10.89,10.379,
01/24/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,60.00,10.89,5.510,
01/24/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,76.97,10.89,7.068,
01/20/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,118.47,10.89,10.879,
01/20/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,53.17,10.89,4.883,
01/20/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,78.36,10.89,7.196,
01/19/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,355.40,10.87,32.696,
01/19/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,159.50,10.87,14.673,
01/19/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,235.10,10.87,21.628,
01/18/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,118.47,10.88,10.889,
01/18/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,53.17,10.88,4.887,
01/18/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,78.36,10.88,7.202,
01/17/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,118.47,10.91,10.859,
01/17/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,53.17,10.91,4.873,
01/17/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,78.36,10.91,7.182,
01/13/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,118.09,10.89,10.844,
01/13/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,53.53,10.89,4.915,
01/13/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,78.38,10.89,7.197,
01/12/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,113.03,10.90,10.370,
01/12/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,60.00,10.90,5.505,
01/12/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,76.97,10.90,7.061,
01/11/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,118.32,10.89,10.865,
01/11/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,53.17,10.89,4.883,
01/11/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,78.51,10.89,7.209,
01/10/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,118.48,10.89,10.880,
01/10/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,52.96,10.89,4.863,
01/10/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,78.56,10.89,7.214,
01/09/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,118.48,10.89,10.880,
01/09/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,52.96,10.89,4.863,
01/09/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,78.56,10.89,7.214,
01/04/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,118.13,10.87,10.867,
01/04/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,53.03,10.87,4.879,
01/04/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,78.84,10.87,7.253,
01/03/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,187.50,10.87,17.249,
01/03/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,12.50,10.87,1.150,
01/03/2017,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,50.00,10.87,4.600,
01/20/2017,DFA International Core Equity,DFIEX,Exchange Redemption,-542.78,12.03,-45.119,
01/20/2017,DFA International Core Equity,DFIEX,Exchange Redemption,-254.18,12.03,-21.129,
01/20/2017,DFA International Core Equity,DFIEX,Exchange Redemption,-355.43,12.03,-29.545,
01/12/2017,DFA International Core Equity,DFIEX,Exchange Redemption,-471.01,12.01,-39.218,
01/12/2017,DFA International Core Equity,DFIEX,Exchange Redemption,-220.56,12.01,-18.365,
01/12/2017,DFA International Core Equity,DFIEX,Exchange Redemption,-308.43,12.01,-25.681,
