Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
06/08/2016,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Redemption,-209.11,9.62,-21.737,
06/08/2016,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Redemption,-131.50,9.62,-13.669,
06/08/2016,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Redemption,-159.39,9.62,-16.569,
06/07/2016,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Redemption,-209.11,9.61,-21.760,
06/07/2016,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Redemption,-131.50,9.61,-13.684,
06/07/2016,DFA Selectively Hedged Global Fixed,DFSHX,Exchange Redemption,-159.39,9.61,-16.586,
12/14/2016,DFA Inflation-Protected Securities,DIPSX,Ordinary Dividend Reinvestment Increase,3.89,11.54,0.337,
12/14/2016,DFA Inflation-Protected Securities,DIPSX,Ordinary Dividend Reinvestment Increase,1.75,11.54,0.152,
12/14/2016,DFA Inflation-Protected Securities,DIPSX,Ordinary Dividend Reinvestment Increase,2.60,11.54,0.225,
12/14/2016,DFA Inflation-Protected Securities,DIPSX,Long Term Capital Gain Reinvestment,1.44,11.54,0.125,
12/14/2016,DFA Inflation-Protected Securities,DIPSX,Long Term Capital Gain Reinvestment,0.65,11.54,0.056,
12/14/2016,DFA Inflation-Protected Securities,DIPSX,Long Term Capital Gain Reinvestment,0.96,11.54,0.083,
12/14/2016,DFA Inflation-Protected Securities,DIPSX,Short Term Capital Gain Reinvestment,0.02,11.54,0.002,
12/14/2016,DFA Inflation-Protected Securities,DIPSX,Short Term Capital Gain Reinvestment,0.01,11.54,0.001,
12/14/2016,DFA Inflation-Protected Securities,DIPSX,Short Term Capital Gain Reinvestment,0.02,11.54,0.002,
12/14/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.13,11.54,10.237,
12/14/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,53.03,11.54,4.595,
12/14/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,78.84,11.54,6.832,
12/13/2016,DFA Inflation-Protected Securities,DIPSX,Exchange Purchase,118.13,11.76,10.045,
